Context,Question,Answer,Context Length,Answer Length,Question Length
"ডেটা টেবিলের মধ্যে রিলেশন তিন প্রকার হতে পারে। যথা- ওয়ান টু ওয়ান রিলেশন, ওয়ান টু মেনি বা মেনি টু ওয়ান রিলেশন ও মেনি টু মেনি রিলেশন। যখন দু'টি ডেটা টেবিলের মধ্যে রিলেশন স্থাপন করা হয় এবং প্রথম ডেটা টেবিলের একটি রেকর্ডের জন্যে অন্য ডেটা টেবিলে কেবলমাত্র একটি রেকর্ড থাকে তখন তাকে ওয়ান টু ওয়ান রিলেশনশিপ বলে।ওয়ান টু ওয়ান রিলেশনশিপ ইউনারি, বাইনারি কিংবা টারনারি হতে পারে। কোন বেসিক ডেটাকে যখন ভেঙ্গে আলাদা আলাদা টেবিলে সংরক্ষণ করা হয় তখন ওয়ান টু ওয়ান  রিলেশন প্রতিষ্ঠার প্রয়োজন হয়। যেমন কোন অফিসের কর্মচারীদের নাম, ঠিকানা, পদবী একটি টেবিলে, এবং তার বেতন সংক্রান্ত তথ্যাবলী অন্য টেবিলে সংরক্ষণ করা যায়। প্রথম টেবিলটি সবার ব্যবহারের জন্যে উন্মুক্ত থাকে, আবার বেতন তৈরি করার সময় স্যালারি টেবিলের সাথে প্রথম টেবিলটি সংযোগ করে প্রয়োজনীয় ডেটা নিয়ে আসা যায়। ফলে বেতন সংক্রান্ত গোপণীয়তাও রক্ষা করা যায়। কোন ডেটা টেবিলের একটি রেকর্ডের সাথে অন্য টেবিলের একাধিক রেকর্ডের মধ্যেকার রিলেশনকে ওয়ান টু মেনি রিলেশন বলা হয়। ইহা একটি বহুল ব্যবহৃত রিলেশন। এ পদ্ধতিতে কোন ডেটা টেবিলের একটি রেকর্ড অন্য টেবিলের একাধিক রেকর্ডের সাথে রিলেশন রক্ষা করে। ওয়ান টু মেনি রিলেশনশিপ ইউনারি, বাইনারি কিংবা টারনারি হতে পারে।",ওয়ান টু মেনি রিলেশনশিপ কয় ধরনের হতে পারে? ," ইউনারি, বাইনারি কিংবা টারনারি হতে পারে।",182,6,8
এসিনক্রোনাস ট্রান্সমিশন ডেটা ট্রান্সমিশনকে স্টার্ট/স্টপ ট্রান্সমিশনও বলা হয়। সাধারণত যখন কোন সিপিউ এর সাথে এক বা একাধিক টার্মিনাল (কী-বোর্ড অথবা কী-বোর্ড ও মনিটর) সংযুক্ত করা হয় তখন টার্মিনাল থেকে সিপিউ পর্যন্ত এ ধরনের অর্থাৎ এসিনক্রোনাস ট্রান্সমিশন ব্যবস্থা গ্রহণ করা হয়। কেননা যখন একজন অপারেটর কী-বোর্ড হতে ডেটা টাইপ করবে তখন প্রতি অক্ষর চাপার সাথে সাথে কী-বোর্ড হতে সিপিউ তে ডেটা স্থানান্তর হবে এবং কখনোই একজন অপারেটরের টাইপিং এর গতি একইভাবে পাওয়া যাবে না। ফলে ক্যারেক্টার টু ক্যারেক্টার টাইম ইন্টারভেল অসমান বা অনিয়ম হবে। এই এসিনক্রোনাস ডেটা ট্রান্সমিশন সিস্টেমে কী-বোর্ডের প্রতি অক্ষর চাপার সাথে সাথে ৭ বিটের একটি ক্যারেক্টার ডেটা উৎপন্ন হয়। এই ৭ বিটের সাথে একটি পেয়ারিটি বিট যোগ হয়ে ডেটাটি এক বাইট বা ৮ বিট এ রূপান্তরিত হয়। এই ৮ বিটের ক্যারেক্টার ডেটাকে ট্রান্সমিশনের পূর্বে তার সম্মুখে একটি স্টার্ট বিট এবং শেষে একটি বা দুটি স্টপ বিট সংযুক্ত করা হয়। ফলে প্রতিটি ক্যারেক্টারের ডেটা ১০ অথবা ১১ বিটের ডেটায় রূপান্তরিত হয়ে ট্রান্সমিট হয়।,কোন সিপিউ এর সাথে এক বা একাধিক টার্মিনাল (কী-বোর্ড অথবা কী-বোর্ড ও মনিটর) সংযুক্ত করা হয় তখন টার্মিনাল থেকে সিপিউ পর্যন্ত কি ব্যবস্থা গ্রহণ করা হয় ?, এসিনক্রোনাস ট্রান্সমিশন ব্যবস্থা গ্রহণ করা হয়।,154,6,27
"দুইয়ের অধিক পোর্ট যুক্ত রিপিটারকে হাব বলে। স্টার টপোলজিতে হাব একটি কেন্দ্রীয় কানেকটিভ ডিভাইস হিসেবে ব্যবহৃত হয়। হাবের মাধ্যমে কম্পিউটারসমূহ পরস্পরের সাথে যুক্ত থাকে। কম্পিউটারের সংযোগ সংখ্যার উপর হাবের ক্ষমতা নির্ভর করে। কার্যকারিতার দিক থেকে হাব প্রধানত দুই প্রকার। যথা-
১. সক্রিয় হাব 
২. নিষ্ক্রিয় হাব 
সক্রিয় হাব  : সক্রিয় হাব সংকেতের মানকে বৃদ্ধি করে এবং মূল সংকেত থেকে অপ্রয়োজনীয় সংকেত বাদ দিয়ে প্রয়োজনীয় সংকেত প্রেরণ করে। এই জাতীয় অধিক ক্ষমতাযুক্ত হাবকে অনেক সময় ইন্টেলিজেন্ট হাব বলা হয় ।
নিষ্ক্রিয় হাব  : নিষ্ক্রিয় হাব কম্পিউটারসমূহের মধ্যে কেবলমাত্র তথ্য আদান প্রদান করে। এটি সংকেতের মান বৃদ্ধি করে না। এ কারণে এ সকল হাবকে কোন সক্রিয় ডিভাইসের সাথে যুক্ত করে দেয়া হয় ।",কার্যকারিতার দিক থেকে হাব এর নাম কি কি ?,"১. সক্রিয় হাব 
২. নিষ্ক্রিয় হাব ",109,6,9
"ফ্লোচার্টকে প্রধানত দুই ভাগে ভাগ করা যায়। যথা- ১) সিস্টেম ফ্লোচার্ট এবং ২) প্রোগ্রাম ফ্লোচার্ট। সিস্টেম ফ্লোচার্ট সিস্টেম ফ্লোচার্টে ডেটা প্রক্রিয়াকরণ পদ্ধতির বিভিন্ন অংশের মধ্যে প্রক্রিয়াকরণের প্রবাহ দেখানো হয়। এই চিত্রে ডেটা গ্রহণ, প্রক্রিয়াকরণ, সংরক্ষণ ও ফলাফল প্রদর্শনের প্রবাহ বা দিক চিহ্নিত করা হয়। প্রক্রিয়াকরণের বিশদ ব্যাখ্যা এই ধরনের ফ্লোচার্টে দেখানো হয়। কোন সিস্টেমের কার্যপ্রণালী বোঝাতে সিস্টেম ফ্লোচার্ট ব্যবহৃত হয়। প্রোগ্রাম ফ্লোচার্টে প্রোগ্রামের বিভিন্ন ধাপের বিস্তারিত বিবরণ দেয়া হয়। এই ফ্লোচার্ট অনুসারে কম্পিউটার প্রোগ্রাম রচনা করা হয়। তাছাড়া প্রোগ্রামের ভুল নির্ণয়ে ও সংশোধন এবং প্রোগ্রাম পরীক্ষার জন্য এই ফ্লোচার্ট ব্যবহার করা হয়।
",ফ্লোচার্ট  কি কি?,১)সিস্টেম ফ্লোচার্ট এবং ২) প্রোগ্রাম ফ্লোচার্ট,92,6,3
"সিডিএমএ এর সুবিধাসমূহ ট্রান্সমিশন পাওয়ার খুবই কম। তাই কথা বলার সময় রেডিয়েশন কম হয়। একটি সাধারণ জিএসএম এবং এনালগ ফোনে ৬০০ মিলি ওয়াট থেকে ২ ওয়াট পর্যন্ত পাওয়ার প্রয়োজন হতো। অন্যদিকে, সিডিএমএ সিস্টেমে সর্বোচ্চ ২০০ মিলিওয়াট পাওয়ার দরকার হয়। যেহেতু সিডিএমএ সিস্টেমে কম পাওয়ার দরকার হয় সেহেতু ব্যাটারির আয়ুষ্কাল বৃদ্ধি পায় এবং দীর্ঘক্ষণ ধরে কথা বলা যায় যা পরিবেশ রক্ষায় গুরুত্বপূর্ণ ভূমিকা রাখে। তাই একে গ্রীণ ফোন বলা হয়।
এক্ষেত্রে এডভান্সড সফট সুইচিং প্রযুক্তি  ব্যবহৃত হয় যা সার্ভারের নিয়ন্ত্রণ অংশ পরিচালনা করে এবং অন্য সুইচসমূহ অন্য কাজে ব্যবহৃত হয়। প্যাকেট ডেটা সুইচিংয়ের জন্য তারা অনেক গ্রাহক পরিচালনা করতে পারে। সফট সুইচিং প্রযুক্তিতে কোন নির্দিষ্ট হার্ডওয়্যার প্রয়োজন হয় না । অপেক্ষাকৃত ভাল কল মান। নয়েস প্রায় নেই বললেই চলে। ব্যাপক নয়েসের ক্ষেত্রেও অপেক্ষাকৃত ভাল কল মান পাওয়া যায় । সিডিএমএ অপেক্ষাকৃত কম ব্যান্ডউইডথ ব্যবহার করে। একই ব্যান্ডউইডথে সিডিএমএ সিস্টেম জিএসএম সিস্টেম অপেক্ষা ৪ থেকে ৫ গুণ বেশি ধারণক্ষম ।",একটি সাধারণ জিএসএম এবং এনালগ ফোনে কত পর্যন্ত পাওয়ার প্রয়োজন হতো ?,৬০০ মিলি ওয়াট থেকে ২ ওয়াট,147,6,12
"ন্যানোপ্রযুক্তি হচ্ছে পারমাণবিক বা আণবিকমাত্রার কার্যক্ষম প্রকৌশল শাস্ত্র যা কোন ডিভাইস বা সিস্টেমের কাজ এবং এর আরও উন্নয়নের সাথে সম্পৃক্ত। মেরিয়াম ওয়েবস্টার অনলাইন ডিকশনারী অনুসারে ন্যানোটেকনোলজি হল-""ন্যানোপ্রযুক্তি হলো পারমাণবিক বা আণবিক স্কেলে অতিক্ষুদ্র ডিভাইস তৈরি করার জন্য ধাতব ও বস্তুকে সুনিপুণভাবে কাজে লাগানোর বিজ্ঞান""। একটি উপাদানের গোড়ার দিকের আবিষ্কার থেকে বর্তমানে উন্নয়নকৃত পদ্ধতি এবং সামগ্রী ব্যবহার করে উচ্চক্ষমতা সম্পন্ন পণ্য বা উপাদান তৈরির জন্য ন্যানোপ্রযুক্তিকে কাজে লাগানো হয় ।",ন্যানোটেকনোলজি কেন ব্যবহার করা হয়? ,অতি ক্ষুদ্র ডিভাইস তৈরী করার জন্য,69,6,5
ইন্টারনেটের মাধ্যমে আজ নতুন এক পৃথিবী গড়ে উঠেছে যেখানে সারা পৃথিবীর মানুষের মধ্যে যোগাযোগ কার্যক্রম অনেক সহজ হয়েছে। পৃথিবীর এক প্রান্ত হতে অপর প্রান্তে যোগাযোগের জন্য বাস্তবে অনেক দূরত্ব থাকলেও ইন্টারনেট সেই দূরত্বকে একেবারেই কমিয়ে দিয়েছে। আজকাল মানুষ অন-লাইনের মাধ্যমে একে অপরের সাথে যোগাযোগ বা তথ্য আদান প্রদানের জন্য অন-লাইন সমাজ ব্যবস্থা বা ইনফরমেশন সোসাইটি গড়ে তুলেছে। , আজকাল মানুষ অন-লাইনের মাধ্যমে একে অপরের সাথে যোগাযোগ বা তথ্য আদান প্রদানের জন্য কি গড়ে তুলেছে? ,অন-লাইন সমাজ ব্যবস্থা বা ইনফরমেশন সোসাইটি ,57,6,16
"ফাইবারের সুবিধাসমূহ বিভিন্ন ধরনের জন্য অপটিক্যাল ফাইবার ক্রমেই জনপ্রিয় হয়ে উঠেছে। এসব সুবিধার মধ্যে উল্লেখযোগ্য হলো- আলোর গতিতে ডেটা স্থানান্তরিত হয় এবং অপেক্ষাকৃত দ্রুত গতি সম্পন্ন ,উচ্চ ব্যান্ডউইডথ, আকারে ছোট এবং ওজন অত্যন্ত কম, শক্তি ক্ষয় করে কম, বিদ্যুৎ চৌম্বক প্রভাব হতে মুক্ত, ডেটা সংরক্ষণের নিরাপত্তা ও গোপনীয়তা, সঠিকভাবে ডেটা স্থানান্তর বা চলাচলের ক্ষেত্রে পারিপার্শ্বিক অবস্থা কোন বাঁধা প্রদান করতে পারে না।",ফাইবারের সুবিধা কি ?,আকারে ছোট এবং ওজন অত্যন্ত কম,62,6,4
"অন্যদিকে ১৯৮১ সালে আইবিএম কোম্পানি তাদের বানানো পার্সোনাল কম্পিউটারের অপারেটিং সিস্টেম তৈরি করার জন্য উইলিয়াম হেমি গ্রেটস অথবা বিল গেটস (জন্ম অক্টোবর ২৮, ১৯৫৫) ও তাঁর বন্ধুদের প্রতিষ্ঠান মাইক্রোসফটকে দায়িত্ব দেয়। বিকশিত হয় এমএস ডস এবং উইন্ডোজ অপারেটিং সিস্টেম। বিল গেটস প্রতিষ্ঠিত মাইক্রোসফট কোম্পানির অপারেটিং সিস্টেম সফটওয়্যার দিয়ে বর্তমানে পৃথিবীর অধিকাংশ কম্পিউটার পরিচালিত হয়।",উইন্ডোজ অপারেটিং সিস্টেম  প্রতিষ্ঠাতার নাম কি?,উইলিয়াম হেমি গ্রেটস অথবা বিল গেটস,54,6,6
"দুটি পরিবাহী তারকে পরস্পর সুষমভাবে পেঁচিয়ে টুইস্টেড পেয়ার ক্যাবল তৈরি করা হয়। পেঁচানো তার দুটিকে পৃথক রাখার জন্য এদের মাঝে অপরিবাহী পদার্থ ব্যবহার করা হয়ে থাকে। এ ধরনের ক্যাবলে সাধারণত মোট ৪ জোড়া তার ব্যবহৃত হয়। প্রতি জোড়া তারের মধ্যে একটি সাধারণ বা কমন রংয়ের (সাদা) তার থাকে এবং অপর তারগুলো হয় ভিন্ন রংয়ের। তারসমূহ সংযোজনের সময় ১, ২, ৩, ৪, ৫, ৬, ৭, ৮ নম্বরের ভিত্তিতে সংযোগ দিতে হয়। এ ধরনের ক্যাবল ব্যবহার করে ১০০ মিটারের বেশি দূরত্বে কোন ডেটা প্রেরণ করা যায় না। এছাড়াও ডেটা ট্রান্সফারের দূরত্ব বাড়তে থাকলে ডেটা ট্রান্সফার রেট কমতে থাকে। টুইস্টেড পেয়ার ক্যাবলের ট্রান্সমিশন লস অত্যন্ত বেশি। টুইস্টেড পেয়ার ক্যাবল সাধারণত দুই প্রকারের হয়। যথা- আনশিল্ডেড টুইস্টেড পেয়ার ক্যাবল বা ইউটিপি ,শিল্ডেড টুইস্টেড পেয়ার ক্যাবল ", প্রতি জোড়া তারের মধ্যে কি তার থাকে?,একটি সাধারণ বা কমন রংয়ের (সাদা),121,6,7
প্রতিটি ওয়েব সাইটের একটি সুনির্দিষ্ট ও অদ্বিতীয় ওয়েব অ্যাড্রেস রয়েছে যার সাহায্যে কোন ওয়েব সাইটের পেজগুলোকে ওয়েব ব্রাউজারে দেখা বা খুঁজে বের করা যায় প্রতিটি ওয়েব অ্যাড্রেসের পেছনে একটি আইপি অ্যাড্রেস কাজ করে। ইন্টারনেটে যখন কোন ওয়েব অ্যাড্রেস লিখে এন্টার প্রেস করা হয় তখন ডিএনএস-এর মাধ্যমে তা আইপি অ্যাড্রেসে রূপান্তরিত হয়ে যায় এবং নির্দিষ্ট কম্পিউটারকে খুঁজে পায়। মূলত ওয়েব অ্যাড্রেস ডোমেনের অন্তর্ভূক্ত একটি কম্পিউটারের পরিচয় বহন করে যা ওয়েব সার্ভিস প্রদান করে।,প্রতিটি ওয়েব সাইটের কি রয়েছে?,একটি সুনির্দিষ্ট ও অদ্বিতীয় ওয়েব অ্যাড্রেস,72,6,5
"রিলেশনাল ডেটাবেজ মডেল হল একাধিক টেবিলের সমন্বয়ে গঠিত মডেল, যা ডেটা ডেটার মধ্যে সম্পর্ককে প্রকাশ করে। প্রত্যেকটি টেবিলে একাধিক কলাম ও রো বা রেকর্ড থাকে। প্রত্যেকটি কলামের আবার একটি নাম থাকে যা ফিল্ড নামে পরিচিত। ডেটাবেজের টেবিলগুলো প্রাইমারি কী ও ফরেন কীর মাধ্যমে পরস্পর সম্পর্কযুক্ত থাকে বিধায় এই মডেলকে রিলেশনাল ডেটাবেজ মডেল বলা হয়। ১৯৭০ সালে ই.এফ.কড রিলেশনাল ডেটাবেজ মডেলটির ধারণা উপস্থাপন করেন। ১৯৮৫ সালে তিনি তাঁর বক্তব্যকে আরো বেশি পরিষ্কার ও জোরালো করার জন্য একটি প্রবন্ধ লেখেন যা ""কোড'স টুয়েলভ রুলস"" নামে পরিচিত।",প্রত্যেকটি টেবিলে কি থাকে?,একাধিক কলাম ও রো বা রেকর্ড ,84,6,4
"ওয়েব পেজ হলো এক ধরনের ওয়েব ডকুমেন্ট যা ওয়ার্ল্ড ওয়াইড ওয়েব ও ইন্টারনেট ব্রাউজারে ব্যবহারের জন্য উপযুক্ত। ইন্টারনেট ব্যবহারকারীদের দেখার জন্য বিভিন্ন দেশের সার্ভারে রাখা ফাইলকে ওয়েব পেজ বলে। ওয়েব পেজ সাধারণত এইচটিএমএল দ্বারা তৈরি করা হয়। মেরিয়াম-ওয়েবস্টার  অনলাইন ডিকশনারী অনুসারে ওয়েব পেজ হলো- "" এইচটিএমএল দিয়ে তৈরি ইলেক্ট্রনিক (ডিজিটাল) নথি এবং যা ব্রাউজার দিয়ে অ্যাক্সেসযোগ্য।"" ওয়েব পেজে টেক্সট বা লেখা, ছবি, গ্রাফিক্স, অ্যানিমেশন ছাড়াও বিভিন্ন ধরনের ডেটা ফাইল, ভিডিও, অডিও ইত্যাদি এবং অন্য কোন পেজের লিংক থাকতে পারে।",ওয়েব পেজ হলো এক ধরনের ওয়েব ডকুমেন্ট যা কোথায় ব্যবহারের জন্য উপযুক্ত?,ওয়ার্ল্ড ওয়াইড ওয়েব  ও ইন্টারনেট ব্রাউজারে,79,6,12
